Time (hrs),Zone Temp (C),Outside Temp (C),HVAC Power (W),Fabric Loss (W),Air Exchange Loss (W),Solar Gains (W),Internal Gains (W),Window State (0-1)
4.2167,14.9644,3.8662,222.5825,164.4740,4.1775,0.0000,0.0000,0.0000
4.2333,14.9682,3.8903,240.9912,166.4213,4.1809,0.0000,0.0000,0.0000
4.2500,14.9728,3.9145,256.1883,168.6721,4.1846,0.0000,0.0000,0.0000
4.2667,14.9779,3.9387,267.9413,171.1397,4.1887,0.0000,0.0000,0.0000
4.2833,14.9833,3.9628,276.1461,173.7372,4.1931,0.0000,0.0000,0.0000
4.3000,14.9887,3.9870,280.8199,176.3799,4.1975,0.0000,0.0000,0.0000
4.3167,14.9941,4.0112,282.0919,178.9882,4.2020,0.0000,0.0000,0.0000
4.3333,14.9993,4.0353,280.1900,181.4894,4.2064,0.0000,0.0000,0.0000
4.3500,15.0041,4.0595,275.4264,183.8198,4.2108,0.0000,0.0000,0.0000
4.3667,14.9941,4.0837,0.0000,179.6842,4.2094,0.0000,0.0000,0.0000
4.3833,14.9847,4.1078,9.5048,175.8844,4.2070,0.0000,0.0000,0.0000
4.4000,14.9766,4.1320,27.9763,172.6167,4.2051,0.0000,0.0000,0.0000
4.4167,14.9698,4.1562,50.1364,169.9501,4.2039,0.0000,0.0000,0.0000
4.4333,14.9645,4.1803,75.0022,167.9302,4.2035,0.0000,0.0000,0.0000
4.4500,14.9608,4.2045,101.5795,166.5788,4.2039,0.0000,0.0000,0.0000
4.4667,14.9585,4.2287,128.8956,165.8950,4.2050,0.0000,0.0000,0.0000
4.4833,14.9578,4.2528,156.0284,165.8574,4.2069,0.0000,0.0000,0.0000
4.5000,14.9584,4.2770,182.1324,166.4256,4.2094,0.0000,0.0000,0.0000
4.5167,14.9603,4.3012,206.4597,167.5435,4.2127,0.0000,0.0000,0.0000
4.5333,14.9633,4.3253,228.3765,169.1418,4.2165,0.0000,0.0000,0.0000
4.5500,14.9673,4.3495,247.3746,171.1412,4.2208,0.0000,0.0000,0.0000
4.5667,14.9719,4.3737,263.0783,173.4559,4.2256,0.0000,0.0000,0.0000
4.5833,14.9771,4.3978,275.2460,175.9964,4.2306,0.0000,0.0000,0.0000
4.6000,14.9826,4.4220,283.7678,178.6727,4.2359,0.0000,0.0000,0.0000
4.6167,14.9883,4.4462,288.6588,181.3974,4.2412,0.0000,0.0000,0.0000
4.6333,14.9939,4.4703,290.0494,184.0882,4.2466,0.0000,0.0000,0.0000
4.6500,14.9992,4.4945,288.1719,186.6698,4.2519,0.0000,0.0000,0.0000
4.6667,15.0041,4.5187,283.3452,189.0763,4.2570,0.0000,0.0000,0.0000
4.6833,14.9938,4.5428,0.0000,184.8279,4.2552,0.0000,0.0000,0.0000
4.7000,14.9843,4.5670,9.8774,180.9011,4.2541,0.0000,0.0000,0.0000
4.7167,14.9759,4.5912,28.8991,177.5250,4.2528,0.0000,0.0000,0.0000
4.7333,14.9690,4.6153,51.7058,174.7709,4.2522,0.0000,0.0000,0.0000
4.7500,14.9635,4.6395,77.2864,172.6852,4.2523,0.0000,0.0000,0.0000
4.7667,14.9596,4.6637,104.6185,171.2903,4.2532,0.0000,0.0000,0.0000
4.7833,14.9573,4.6878,132.7022,170.5850,4.2548,0.0000,0.0000,0.0000
4.8000,14.9566,4.7120,160.5901,170.5468,4.2572,0.0000,0.0000,0.0000
4.8167,14.9572,4.7362,187.4137,171.1339,4.2604,0.0000,0.0000,0.0000
4.8333,14.9592,4.7603,212.4050,172.2882,4.2642,0.0000,0.0000,0.0000
